[23156:26588:0211/141241.608:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[23156:8048:0211/141241.677:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[23156:26588:0211/141241.709:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[23156:26588:0211/141247.588:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[22448:13844:0211/141249.611:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-404F391638877097CD1447FFF7E4C1B8 will be ignored
[21184:18344:0211/141252.077:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -107
[21184:18344:0211/141252.129:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -107
[21184:18344:0211/141305.942:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -107
[21184:18344:0211/141320.877:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -100
[21184:18344:0211/142353.439:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[23156:23308:0211/142832.365:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=39})
[23156:23308:0211/142833.372:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=38})
[23156:23308:0211/142835.371:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=37})
[23156:23308:0211/142836.375:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=38})
[23156:23308:0211/142837.371:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=37})
[23156:23308:0211/142839.377:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=39})
[23156:23308:0211/142840.442:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=37})
[23156:23308:0211/142841.400:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=39})
[23156:23308:0211/142844.376:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=40})
[23156:23308:0211/142845.367:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=42})
[23156:23308:0211/142846.382:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=41})
[23156:23308:0211/142848.369:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=42})
[23156:23308:0211/142850.382:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=43})
[23156:23308:0211/142852.372:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=44})
[23156:23308:0211/142855.380:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=43})
[23156:23308:0211/142857.383:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=44})
[23156:23308:0211/142858.386:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=43})
[23156:23308:0211/142859.383:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=42})
[23156:23308:0211/142900.901:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=40})
[23156:23308:0211/142901.403:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=39})
[23156:23308:0211/142902.403:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=38})
[23156:23308:0211/142903.401:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=37})
[23156:23308:0211/142905.407:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=36})
[23156:23308:0211/142906.401:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=35})
[23156:23308:0211/142907.402:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000392400152D40}, {new_limit=34})
